Longitude,Latitude
-149.8935557,61.21759217
-149.9054948,61.19533942
-149.7522,61.2297
-149.8643361,61.19525062
-149.8379726,61.13751355
-149.9092788,61.13994658
-149.7364877,61.19533265
-149.8211,61.2156
-149.8445832,61.13806145
-149.9728678,61.176693
-149.8638034,61.14473454
-149.8359225,61.18081843
-149.88695,61.180763
-149.552503,61.345921
-149.5708432,61.32360721
-149.571083,61.3252
-147.690082,64.8522227
-147.7044254,64.85064492
-147.8222994,64.83696195
-151.53123,59.64204
-134.5621,58.3601
-131.680747,55.35173351
-152.3609342,57.81208717
-149.1183292,61.60093654
-149.4331873,60.12892832
-151.0417651,60.49443906
-151.051614,60.489986
-149.40958,61.57691
-86.827626,33.2152
-86.949656,34.785059
-86.78842024,33.50904809
-86.826127,33.447522
-86.7102897,33.42956176
-86.8018,33.5062
-86.8113765,33.37312732
-86.66982766,33.41838757
-86.7011,33.5868
-86.75620223,33.50263454
-86.79644474,33.50040126
-86.799091,33.504689
-87.898099,30.601019
-87.683099,30.377666
-87.682999,30.304936
-86.80917035,33.38072249
-86.69949,33.42254
-86.665699,34.7407
-86.68134336,34.74505961
-86.55230743,34.68203745
-86.58647,34.769819
-86.575905,34.7266
-86.57429381,34.69111819
-86.57919788,34.72002697
-88.04221,30.68976
-88.143477,30.697309
-88.12661,30.673693
-88.2255057,30.67333454
-88.196698,30.681004
-88.072584,30.680498
-88.14309381,30.67621703
-88.130514,30.687603
-88.22533,30.69911
-88.122539,30.6761
-88.190499,30.661638
-86.181656,32.338634
-86.183853,32.3825
-86.18089,32.3399
-86.26356801,32.35239312
-86.21922302,32.35217285
-86.773962,33.484513
-85.40687104,32.6280937
-85.3928,32.6548
-85.842,33.5927
-85.82810247,33.60858102
-87.852027,30.669385
-86.63801947,33.60234164
-86.64673,33.59541
-87.51826693,33.20120805
-87.54677614,33.21231052
-86.797593,33.421892
-86.735925,33.455541
-94.21321152,36.35696718
-92.53446,34.60255
-92.3874,35.0785
-92.41866,35.09135
-92.43947287,35.11074111
-94.145299,36.123007
-94.36294976,35.3587282
-93.06209925,34.45764525
-90.66704,35.821236
-92.38191429,34.74577386
-92.4126917,34.75204348
-92.21905583,34.72769385
-92.4149,34.798
-92.379005,34.75911
-92.35743226,34.77140489
-92.40416376,34.74810967
-92.33723,34.770222
-92.341099,34.753007
-92.2551,34.7993
-92.22356,34.789467
-94.18313137,36.31955482
-94.179842,36.3349
-94.1589,36.2834
-94.1879,36.304601
-94.356399,35.466507
-112.1347187,33.86405429
-112.1344948,33.86381987
-111.57396,33.415339
-112.287081,33.493493
-112.3050986,33.43536059
-112.2753599,33.46464844
-114.5864543,35.12158199
-111.8655,34.5658
-111.740086,32.89571681
-111.806444,33.21903128
-111.9124763,33.31998926
-111.789399,33.234573
-111.8228735,33.32087638
-111.9015716,33.30567804
-111.8585749,33.23378805
-111.84192,33.30353
-111.84123,33.28584
-111.9118504,33.31999187
-111.9684795,33.31760813
-111.9482622,33.30531037
-111.8964975,33.30569847
-111.858732,33.34972709
-111.8746327,33.3060856
-111.8764317,33.33595832
-111.8600981,33.26181573
-112.4521866,34.78282547
-112.0089493,34.72846222
-111.6638424,35.18716021
-111.6613874,35.18429883
-111.631,35.216557
-111.7398,35.3625
-111.661499,35.188047
-111.63142,35.194549
-114.597999,35.016058
-111.7299795,33.60857565
-111.7249286,33.61019636
-111.718697,33.575834
-111.6877649,33.36489156
-111.7714833,33.3354678
-111.7897403,33.30648175
-111.7249218,33.37926425
-111.7557216,33.34905619
-111.8056644,33.32092108
-111.7507,33.364
-111.7590113,33.335633
-111.8095615,33.33537004
-112.166999,33.59640608
-112.159799,33.610699
-112.3556078,33.53860232
-112.2029872,33.67000491
-112.2374114,33.65280991
-112.1436192,33.69838093
-112.1863216,33.65394714
-112.1855156,33.61081108
-112.2176653,33.63835723
-112.224434,33.63960715
-112.3753049,33.49345981
-112.392599,33.451464
-112.3583262,33.48026748
-112.3580189,33.46160901
-110.9987224,31.85233448
-111.6862971,33.28825881
-114.0374472,35.23700997
-114.337554,34.478282
-114.342988,34.47318734
-109.955309,34.14205054
-112.1692939,33.37746449
-111.239105,32.4409
-111.2598,32.4354
-111.0500991,32.3374794
-111.6840687,33.46544574
-111.599266,33.378662
-111.6261939,33.37899985
-111.8051231,33.42328203
-111.6840841,33.45479248
-111.7718998,33.4226701
-111.7532534,33.39379889
-111.6870689,33.33250477
-111.6375432,33.37909008
-111.8747,33.3814
-111.6361908,33.37831827
-111.6840636,33.46678288
-111.7538886,33.38021706
-111.755104,33.3937
-111.7874795,33.37902519
-111.687991,33.37826704
-111.874783,33.38388487
-111.861856,33.39311451
-111.8054634,33.38418881
-110.9629869,32.4272998
-110.939853,32.41179186
-114.279904,34.154358
-111.31757,34.24052
-112.2888222,33.56562937
